municipality,district
Bojanov,['Chrudim']
Bojanovice,"['Černošice', 'Znojmo']"
Bojiště,['Světlá nad Sázavou']
Bojkovice,['Uherský Brod']
Bolatice,['Kravaře']
Boleboř,['Chomutov']
Bolehošť,['Kostelec nad Orlicí']
Boleradice,['Hustopeče']
Boletice (vojenský újezd),['Český Krumlov']
Bolešiny,['Klatovy']
Bolkov,['Přeštice']
Bor,['Tachov']
Bor u Skutče,['Chrudim']
Borač,['Tišnov']
Bordovice,['Frenštát pod Radhoštěm']
Borek,"['České Budějovice', 'Chotěboř', 'Pardubice', 'Brandýs n. Lab.-St.Boleslav', 'Hořice']"
Boreč,['Mladá Boleslav']
Borkovany,['Hustopeče']
Borkovice,['Soběslav']
Borohrádek,['Kostelec nad Orlicí']
Borotice,"['Znojmo', 'Dobříš']"
Borotín,"['Tábor', 'Boskovice']"
Borovany,"['Trhové Sviny', 'Milevsko']"
Borovnice,"['České Budějovice', 'Vlašim', 'Dvůr Králové nad Labem', 'Nové Město na Moravě', 'Kostelec nad Orlicí']"
Borovnička,['Dvůr Králové nad Labem']
Borovno,['Blovice']
Borovná,['Telč']
Borovník,['Tišnov']
Borovy,['Přeštice']
Borová,"['Polička', 'Náchod']"
Borová Lada,['Vimperk']
Borušov,['Moravská Třebová']
Bory,['Velké Meziříčí']
Boršice,['Uherské Hradiště']
Boršice u Blatnice,['Uherské Hradiště']
Boršov,['Jihlava']
Boršov nad Vltavou,['České Budějovice']
Boseň,['Mnichovo Hradiště']
Boskovice,['Boskovice']
Boskovštejn,['Znojmo']
Boudy,['Písek']
Bousov,['Chrudim']
Bousín,['Prostějov']
Bouzov,['Litovel']
Bozkov,['Semily']
Boňkov,['Havlíčkův Brod']
Bořanovice,['Brandýs n. Lab.-St.Boleslav']
Bořenovice,['Holešov']
Bořetice,"['Hustopeče', 'Pelhřimov']"
Bořetín,"['Jindřichův Hradec', 'Pelhřimov']"
Bořice,['Chrudim']
Bořislav,['Teplice']
Bořitov,['Blansko']
Bošice,['Vimperk']
Bošilec,['České Budějovice']
Bošovice,['Slavkov u Brna']
Bošín,['Vysoké Mýto']
Božanov,['Broumov']
Božejov,['Pelhřimov']
Božetice,['Milevsko']
Božice,['Znojmo']
Božičany,['Karlovy Vary']
Boží Dar,['Ostrov']
Brada-Rybníček,['Jičín']
Bradlec,['Mladá Boleslav']
Bradlecká Lhota,['Semily']
Bradáčov,['Tábor']
Brambory,['Čáslav']
Brandov,['Litvínov']
Brandýs nad Labem -Stará Boleslav,['Brandýs n. Lab.-St.Boleslav']
Brandýs nad Orlicí,['Ústí nad Orlicí']
Brandýsek,['Kladno']
Branice,['Milevsko']
Branišov,['České Budějovice']
Branišovice,['Pohořelice']
Branka u Opavy,['Opava']
Brankovice,['Bučovice']
Branky,['Valašské Meziříčí']
Branná,['Šumperk']
Branov,['Rakovník']
Bransouze,['Třebíč']
Brantice,['Krnov']
Braník,['Praha']
Braník-Na křížku,['Praha']
Braník-Nad lomem,['Praha']
Braník-pobřeží,['Praha']
Braník-střed,['Praha']
Braníškov,['Tišnov']
Branžež,['Mnichovo Hradiště']
