municipality,district
Dolní Žandov,['Cheb']
Dolní Životice,['Opava']
Dolní Žďár,['Jindřichův Hradec']
Doloplazy,"['Olomouc', 'Prostějov']"
Dolánky nad Ohří,['Litoměřice']
Domamil,['Moravské Budějovice']
Domanín,"['Třeboň', 'Kyjov']"
Domašov,['Rosice']
Domašov nad Bystřicí,['Šternberk']
Domašov u Šternberka,['Šternberk']
Domašín,['Kadaň']
Domaželice,['Přerov']
Domažlice,['Domažlice']
Domoraz,['Sušice']
Domousnice,['Mladá Boleslav']
Domoušice,['Louny']
Dománovice,['Kolín']
Doubek,['Říčany']
Doubice,['Rumburk']
Doubrava,['Orlová']
Doubravice,"['České Budějovice', 'Strakonice', 'Dvůr Králové nad Labem']"
Doubravice nad Svitavou,['Blansko']
Doubravička,['Mladá Boleslav']
Doubravník,['Tišnov']
Doubravy,['Zlín']
Doubravčice,['Český Brod']
Doudleby,['České Budějovice']
Doudleby nad Orlicí,['Kostelec nad Orlicí']
Doupovské Hradiště,['Ostrov']
Doupě,['Telč']
Doňov,['Jindřichův Hradec']
Drachkov,['Strakonice']
Drahanovice,['Olomouc']
Drahany,['Prostějov']
Drahelčice,['Černošice']
Drahenice,['Příbram']
Drahkov,['Blovice']
Drahlín,['Příbram']
Drahobudice,['Kolín']
Drahobuz,['Litoměřice']
Drahonice,['Vodňany']
Drahonín,['Tišnov']
Drahotín,['Domažlice']
Drahotěšice,['České Budějovice']
Drahouš,['Rakovník']
Drahov,['Soběslav']
Drahoňův Újezd,['Rokycany']
Drahňovice,['Benešov']
Draženov,['Domažlice']
Dražeň,['Kralovice']
Dražice,['Tábor']
Dražičky,['Tábor']
Dražovice,"['Sušice', 'Bučovice']"
Dražíč,['Týn nad Vltavou']
Dražůvky,['Kyjov']
Drevníky,['Dobříš']
Drhovice,['Tábor']
Drhovle,['Písek']
Drhovy,['Dobříš']
Drmoul,['Mariánské Lázně']
Drnek,['Slaný']
Drnholec,['Mikulov']
Drnovice,"['Boskovice', 'Vyškov', 'Valašské Klobouky']"
Drobovice,['Čáslav']
Droužetice,['Strakonice']
Droužkovice,['Chomutov']
Drozdov,"['Hořovice', 'Zábřeh']"
Drslavice,"['Prachatice', 'Uherský Brod']"
Druhanov,['Světlá nad Sázavou']
Drunče,['Jindřichův Hradec']
Druztová,['Nýřany']
Družec,['Kladno']
Drysice,['Vyškov']
Dráchov,['Soběslav']
Drásov,"['Příbram', 'Tišnov']"
Drážov,['Strakonice']
Držkov,['Železný Brod']
Držková,['Zlín']
Držovice,['Prostějov']
Dub,['Prachatice']
Dub nad Moravou,['Olomouc']
Dubany,['Pardubice']
Dubenec,"['Příbram', 'Dvůr Králové nad Labem']"
Dubicko,['Zábřeh']
Dubičné,['České Budějovice']
Dublovice,['Sedlčany']
Dubnice,['Česká Lípa']
Dubno,['Příbram']
Dubné,['České Budějovice']
Dubovice,['Pelhřimov']
Dubá,['Česká Lípa']
Dubí,['Teplice']
Dubčany,['Litovel']
Dubňany,['Hodonín']
Duchcov,['Teplice']
Dudín,['Jihlava']
Dukovany,['Třebíč']
Dunajovice,['Třeboň']
Dunice,['Vlašim']
Dušejov,['Jihlava']
Dušníky,['Roudnice nad Labem']
Dvakačovice,['Chrudim']
Dvorce,"['Jihlava', 'Bruntál']"
Dvory,"['Nymburk', 'Prachatice']"
Dvory nad Lužnicí,['Třeboň']
Dvůr Králové nad Labem,['Dvůr Králové nad Labem']
Dyje,['Znojmo']
Dyjice,['Telč']
Dyjákovice,['Znojmo']
Dyjákovičky,['Znojmo']
Dymokury,['Poděbrady']
Dynín,['České Budějovice']
Dzbel,['Konice']
Dílce,['Jičín']
Díly,['Domažlice']
Dírná,['Soběslav']
Dívčice,['České Budějovice']
Dívčí Hrad,['Krnov']
Dívčí Kopy,['Jindřichův Hradec']
Dýšina,['Plzeň']
Dědice,['Moravské Budějovice']
Dědová,['Hlinsko']
Děhylov,['Hlučín']
Děkanovice,['Vlašim']
Děkov,['Rakovník']
Děpoltovice,['Karlovy Vary']
Dětenice,['Jičín']
Dětkovice,"['Vyškov', 'Prostějov']"
Dětmarovice,['Karviná']
Dětřichov,"['Frýdlant', 'Svitavy']"
Dětřichov nad Bystřicí,['Bruntál']
Dětřichov u Moravské Třebové,['Moravská Třebová']
Děčany,['Lovosice']
Děčín,['Děčín']
Dřenice,['Chrudim']
Dřetovice,['Kladno']
Dřevnovice,['Prostějov']
Dřevohostice,['Přerov']
Dřevčice,['Brandýs n. Lab.-St.Boleslav']
Dřevěnice,['Jičín']
Dřešín,['Strakonice']
Dřínov,"['Kralupy nad Vltavou', 'Slaný', 'Kroměříž']"
Dřísy,['Brandýs n. Lab.-St.Boleslav']
Dříteč,['Pardubice']
Dříteň,['České Budějovice']
Důl,['Pacov']
Džbánice,['Moravský Krumlov']
Džbánov,['Vysoké Mýto']
Ejpovice,['Rokycany']
Erpužice,['Stříbro']
Evaň,['Lovosice']
Eš,['Pacov']
Felbabka,['Hořovice']
Frahelž,['Třeboň']
Francova Lhota,['Vsetín']
Františkov nad Ploučnicí,['Děčín']
Františkovy Lázně,['Cheb']
Frenštát pod Radhoštěm,['Frenštát pod Radhoštěm']
Frymburk,"['Český Krumlov', 'Sušice']"
Fryčovice,['Frýdek-Místek']
Fryšava pod Žákovou horou,['Nové Město na Moravě']
Fryšták,['Zlín']
Frýdek-Místek,['Frýdek-Místek']
Frýdlant,['Frýdlant']
Frýdlant nad Ostravicí,['Frýdlant nad Ostravicí']
Frýdštejn,['Jablonec nad Nisou']
Fulnek,['Odry']
Golčův Jeníkov,['Havlíčkův Brod']
Grešlové Mýto,['Znojmo']
Gruna,['Moravská Třebová']
Grunta,['Kolín']
Grygov,['Olomouc']
Grymov,['Přerov']
Habartice,['Frýdlant']
Habartov,['Sokolov']
Habrovany,"['Ústí nad Labem', 'Vyškov']"
Habry,['Havlíčkův Brod']
Habrůvka,['Blansko']
Habřina,['Hradec Králové']
Habří,['České Budějovice']
Hadravova Rosička,['Jindřichův Hradec']
Hajany,"['Blatná', 'Šlapanice']"
Hajnice,['Trutnov']
Halenkov,['Vsetín']
Halenkovice,['Otrokovice']
Haluzice,['Valašské Klobouky']
Halámky,['Třeboň']
Halže,['Tachov']
Hamr,['Třeboň']
Hamr na Jezeře,['Česká Lípa']
Hamry,"['Klatovy', 'Hlinsko']"
Hamry nad Sázavou,['Žďár nad Sázavou']
Hanušovice,['Šumperk']
Harrachov,['Tanvald']
Hartinkov,['Moravská Třebová']
Hartmanice,"['Týn nad Vltavou', 'Sušice', 'Polička']"
Hartvíkovice,['Náměšť nad Oslavou']
Hatín,['Jindřichův Hradec']
Havlovice,['Trutnov']
Havlíčkova Borová,['Havlíčkův Brod']
Havlíčkův Brod,['Havlíčkův Brod']
Havraníky,['Znojmo']
Havraň,['Most']
Havířov,['Havířov']
Hazlov,['Aš']
Hačky,['Konice']
Haňovice,['Litovel']
Haškovcova Lhota,['Tábor']
Hať,['Hlučín']
Hejnice,"['Frýdlant', 'Žamberk']"
Hejná,['Horažďovice']
Hejtmánkovice,['Broumov']
Helvíkovice,['Žamberk']
Heraltice,['Třebíč']
Herink,['Říčany']
Heroltice,['Tišnov']
Herálec,"['Havlíčkův Brod', 'Žďár nad Sázavou']"
Heršpice,['Slavkov u Brna']
Hevlín,['Znojmo']
Heřmaneč,['Dačice']
Heřmanice,"['Frýdlant', 'Jaroměř', 'Chotěboř']"
Heřmanice u Oder,['Odry']
Heřmaničky,['Votice']
Heřmanov,"['Děčín', 'Velké Meziříčí']"
Heřmanova Huť,['Nýřany']
Heřmanovice,['Krnov']
Heřmanův Městec,['Chrudim']
Heřmaň,"['České Budějovice', 'Písek']"
Heřmánkovice,['Broumov']
Heřmánky,['Odry']
Hladké Životice,['Nový Jičín']
Hladov,['Jihlava']
Hlasivo,['Tábor']
Hlavatce,"['České Budějovice', 'Soběslav']"
Hlavenec,['Brandýs n. Lab.-St.Boleslav']
Hlavečník,['Přelouč']
Hlavice,['Liberec']
Hlavnice,['Opava']
Hlavňovice,['Sušice']
Hlince,['Kralovice']
Hlincová Hora,['České Budějovice']
Hlinka,['Krnov']
Hlinná,['Litoměřice']
Hlinsko,"['Hlinsko', 'Lipník nad Bečvou']"
Hlohovec,['Břeclav']
Hlohovice,['Rokycany']
Hlohová,['Horšovský Týn']
Hlohovčice,['Horšovský Týn']
Hluboká,['Chrudim']
Hluboká nad Vltavou,['České Budějovice']
Hluboké,['Náměšť nad Oslavou']
Hluboké Dvory,['Tišnov']
Hluboké Mašůvky,['Znojmo']
Hlubočany,['Vyškov']
Hlubočec,['Opava']
Hlubočky,['Olomouc']
Hluboš,['Příbram']
Hlubyně,['Příbram']
Hluchov,['Prostějov']
Hluk,['Uherské Hradiště']
Hlupín,['Strakonice']
Hlučín,['Hlučín']
Hlušice,['Nový Bydžov']
Hlušovice,['Olomouc']
Hlásnice,['Šternberk']
Hlásná Třebaň,['Beroun']
Hlína,['Ivančice']
Hlízov,['Kutná Hora']
Hnanice,['Znojmo']
Hnačov,['Klatovy']
Hnojice,['Šternberk']
Hnojník,['Třinec']
Hnátnice,['Ústí nad Orlicí']
Hněvkovice,['Světlá nad Sázavou']
Hněvnice,['Nýřany']
Hněvotín,['Olomouc']
Hněvošice,['Opava']
Hněvčeves,['Hradec Králové']
Hobšovice,['Slaný']
Hodice,['Jihlava']
Hodkovice nad Mohelkou,['Liberec']
Hodonice,"['Tábor', 'Znojmo']"
Hodonín,"['Chrudim', 'Boskovice', 'Hodonín']"
Hodov,['Třebíč']
Hodslavice,['Nový Jičín']
Hodíškov,['Žďár nad Sázavou']
Hodějice,['Slavkov u Brna']
Hodětín,['Tábor']
Hojanovice,['Humpolec']
Hojkov,['Jihlava']
Hojovice,['Pelhřimov']
Holany,['Česká Lípa']
Holasice,['Židlochovice']
Holasovice,['Opava']
Holedeč,['Žatec']
Holenice,['Turnov']
Holetín,['Hlinsko']
Holešov,['Holešov']
Holice,['Holice']
Holohlavy,['Hradec Králové']
Holotín,['Přelouč']
Holoubkov,['Rokycany']
Holovousy,"['Kralovice', 'Hořice']"
Holubice,"['Černošice', 'Slavkov u Brna']"
Holubov,['Český Krumlov']
Holín,['Jičín']
Holýšov,['Stod']
Holčovice,['Krnov']
Holštejn,['Blansko']
Homole,['České Budějovice']
Homole u Panny,['Ústí nad Labem']
Honbice,['Chrudim']
Honezovice,['Stod']
Honětice,['Kroměříž']
Hora Svaté Kateřiny,['Litvínov']
Hora Svatého Václava,['Domažlice']
Hora Svatého Šebestiána,['Chomutov']
Horažďovice,['Horažďovice']
Horka,['Chrudim']
Horka I,['Čáslav']
Horka Ii,['Kutná Hora']
Horka nad Moravou,['Olomouc']
Horka u Staré Paky,['Jilemnice']
Horky,"['Čáslav', 'Litomyšl']"
Horky nad Jizerou,['Mladá Boleslav']
Hornice,['Moravské Budějovice']
Hornosín,['Blatná']
Horní Benešov,['Bruntál']
Horní Bezděkov,['Kladno']
Horní Bečva,['Rožnov pod Radhoštěm']
Horní Beřkovice,['Roudnice nad Labem']
Horní Blatná,['Ostrov']
Horní Bludovice,['Havířov']
Horní Bojanovice,['Hustopeče']
Horní Bradlo,['Chrudim']
Horní Branná,['Jilemnice']
Horní Brusnice,['Dvůr Králové nad Labem']
Horní Bukovina,['Mnichovo Hradiště']
Horní Bělá,['Kralovice']
Horní Břečkov,['Znojmo']
Horní Bříza,['Nýřany']
Horní Cerekev,['Pelhřimov']
Horní Domaslavice,['Frýdek-Místek']
Horní Dubenky,['Jihlava']
Horní Dubňany,['Moravský Krumlov']
Horní Dunajovice,['Znojmo']
Horní Dvořiště,['Kaplice']
Horní Habartice,['Děčín']
Horní Heřmanice,"['Lanškroun', 'Třebíč']"
Horní Jelení,['Holice']
Horní Jiřetín,['Litvínov']
Horní Kalná,['Vrchlabí']
Horní Kamenice,['Stod']
Horní Kněžeklady,['Týn nad Vltavou']
Horní Kounice,['Moravský Krumlov']
Horní Kozolupy,['Stříbro']
Horní Krupá,['Havlíčkův Brod']
Horní Kruty,['Kolín']
Horní Lapač,['Holešov']
Horní Lhota,"['Luhačovice', 'Ostrava']"
Horní Libchava,['Česká Lípa']
Horní Libochová,['Velké Meziříčí']
Horní Lideč,['Vsetín']
Horní Loděnice,['Šternberk']
Horní Lomná,['Jablunkov']
Horní Loučky,['Tišnov']
Horní Lukavice,['Přeštice']
Horní Maršov,['Trutnov']
Horní Meziříčko,['Dačice']
Horní Moštěnice,['Přerov']
Horní Myslová,['Telč']
Horní Město,['Rýmařov']
Horní Němčice,['Dačice']
Horní Němčí,['Uherský Brod']
Horní Nětčice,['Lipník nad Bečvou']
Horní Olešnice,['Trutnov']
Horní Paseka,['Světlá nad Sázavou']
Horní Planá,['Český Krumlov']
Horní Podluží,['Varnsdorf']
Horní Police,['Česká Lípa']
Horní Počaply,['Mělník']
Horní Poříčí,"['Strakonice', 'Boskovice']"
Horní Pěna,['Jindřichův Hradec']
Horní Radechová,['Náchod']
Horní Radouň,['Jindřichův Hradec']
Horní Radslavice,['Velké Meziříčí']
Horní Rožínka,['Bystřice nad Pernštejnem']
Horní Rápotice,['Humpolec']
Horní Skrýchov,['Jindřichův Hradec']
Horní Slatina,['Dačice']
Horní Slavkov,['Sokolov']
Horní Slivno,['Mladá Boleslav']
Horní Smrčné,['Třebíč']
Horní Smržov,['Boskovice']
Horní Stropnice,['Trhové Sviny']
Horní Studénky,['Zábřeh']
Horní Suchá,['Havířov']
Horní Tošanovice,['Frýdek-Místek']
Horní Těšice,['Hranice']
Horní Třešňovec,['Lanškroun']
Horní Ves,['Pelhřimov']
Horní Vilémovice,['Třebíč']
Horní Vltavice,['Vimperk']
Horní Věstonice,['Mikulov']
Horní Újezd,"['Litomyšl', 'Třebíč', 'Hranice']"
Horní Čermná,['Lanškroun']
Horní Řasnice,['Frýdlant']
Horní Ředice,['Holice']
Horní Řepčice,['Litoměřice']
Horní Štěpánov,['Konice']
Horní Životice,['Bruntál']
Horoměřice,['Černošice']
Horosedly,['Písek']
Horoušany,['Brandýs n. Lab.-St.Boleslav']
Horská Kvilda,['Sušice']
Horušice,['Čáslav']
Hory,['Karlovy Vary']
Horčápsko,['Příbram']
Horšice,['Přeštice']
Horšovský Týn,['Horšovský Týn']
Hoslovice,['Strakonice']
Hospozín,['Slaný']
Hospříz,['Jindřichův Hradec']
Hostašovice,['Nový Jičín']
Hostim,['Znojmo']
Hostinné,['Vrchlabí']
Hostivice,['Černošice']
Hostišová,['Zlín']
Hostomice,"['Hořovice', 'Bílina']"
Hostouň,"['Kladno', 'Domažlice']"
Hostovlice,['Čáslav']
Hosty,['Týn nad Vltavou']
Hostín,['Mělník']
Hostín u Vojkovic,['Kralupy nad Vltavou']
Hostějov,['Uherské Hradiště']
Hostěnice,['Šlapanice']
Hostěradice,['Moravský Krumlov']
Hostěrádky-Rešov,['Slavkov u Brna']
Hostětice,['Telč']
Hostětín,['Uherský Brod']
Hosín,['České Budějovice']
Hovorany,['Kyjov']
Hovorčovice,['Brandýs n. Lab.-St.Boleslav']
Hovězí,['Vsetín']
Hořany,['Nymburk']
Hořenice,['Jaroměř']
Hořepník,['Pelhřimov']
Hořesedly,['Rakovník']
Hořešovice,['Slaný']
Hořešovičky,['Slaný']
Hořice,"['Hořice', 'Humpolec']"
Hořice na Šumavě,['Český Krumlov']
Hořiněves,['Hradec Králové']
Hořičky,['Náchod']
Hořovice,['Hořovice']
Hořovičky,['Rakovník']
Hořátev,['Nymburk']
Hořín,['Mělník']
Hoštejn,['Zábřeh']
Hoštice,"['Strakonice', 'Kroměříž']"
Hoštice-Heroltice,['Vyškov']
Hoštka,['Litoměřice']
Hošťalovice,['Chrudim']
Hošťka,['Tachov']
Hošťálkovy,['Krnov']
Hošťálková,['Vsetín']
Hrabišín,['Šumperk']
Hrabová,['Zábřeh']
Hrabyně,['Opava']
Hrabětice,['Znojmo']
Hraběšice,['Šumperk']
Hraběšín,['Čáslav']
Hrabůvka,['Hranice']
Hracholusky,"['Rakovník', 'Prachatice']"
Hrachoviště,['Třeboň']
Hradce,['České Budějovice']
Hradec,"['Stod', 'Světlá nad Sázavou']"
Hradec Králové,['Hradec Králové']
Hradec nad Moravicí,['Opava']
Hradec nad Svitavou,['Svitavy']
Hradec-Nová Ves,['Jeseník']
Hradečno,['Kladno']
Hradešice,['Horažďovice']
Hradešín,['Český Brod']
Hradištko,"['Černošice', 'Nymburk']"
Hradiště,"['Vlašim', 'Domažlice', 'Nepomuk', 'Rokycany']"
Hradiště (vojenský újezd),['Karlovy Vary']
Hradčany,"['Poděbrady', 'Tišnov', 'Přerov']"
Hradčany-Kobeřice,['Prostějov']
Hradčovice,['Uherský Brod']
Hranice,"['Trhové Sviny', 'Aš', 'Hranice']"
Hraničné Petrovice,['Šternberk']
Hrazany,['Milevsko']
Hrdibořice,['Prostějov']
Hrdlořezy,['Mladá Boleslav']
Hrdlív,['Slaný']
Hrdějovice,['České Budějovice']
Hrejkovice,['Milevsko']
Hrob,['Teplice']
Hrobce,['Roudnice nad Labem']
Hrobice,"['Pardubice', 'Vizovice']"
Hrobčice,['Bílina']
Hrochův Týnec,['Chrudim']
Hromnice,['Nýřany']
Hronov,['Náchod']
Hrotovice,['Třebíč']
Hroubovice,['Chrudim']
Hroznatín,['Třebíč']
Hroznová Lhota,['Veselí nad Moravou']
Hroznětín,['Ostrov']
Hrubá Skála,['Turnov']
Hrubá Vrbka,['Veselí nad Moravou']
Hrubý Jeseník,['Nymburk']
Hrubčice,['Prostějov']
Hrusice,['Říčany']
Hrutov,['Jihlava']
Hruška,['Prostějov']
Hrušky,"['Břeclav', 'Slavkov u Brna']"
Hrušov,['Mladá Boleslav']
Hrušovany,['Chomutov']
Hrušovany nad Jevišovkou,['Znojmo']
Hrušovany u Brna,['Židlochovice']
Hrušová,['Vysoké Mýto']
Hrádek,"['Rokycany', 'Sušice', 'Hradec Králové', 'Ústí nad Orlicí', 'Znojmo', 'Jablunkov']"
Hrádek nad Nisou,['Liberec']
Hrčava,['Jablunkov']
Hubenov,['Jihlava']
Hudlice,['Beroun']
Hudčice,['Příbram']
Hukvaldy,['Frýdek-Místek']
Hulice,['Vlašim']
Hulín,['Kroměříž']
Humburky,['Nový Bydžov']
Humpolec,['Humpolec']
Huntířov,['Děčín']
Hurtova Lhota,['Havlíčkův Brod']
Husinec,"['Brandýs n. Lab.-St.Boleslav', 'Prachatice']"
Huslenky,['Vsetín']
Hustopeče,['Hustopeče']
Hustopeče nad Bečvou,['Hranice']
Husí Lhota,['Mladá Boleslav']
Hutisko-Solanec,['Rožnov pod Radhoštěm']
Huzová,['Šternberk']
Huštěnovice,['Uherské Hradiště']
Hvozd,"['Rakovník', 'Kralovice', 'Konice']"
Hvozdec,"['Hořovice', 'České Budějovice', 'Kuřim']"
Hvozdnice,"['Černošice', 'Hradec Králové']"
Hvozdná,['Zlín']
Hvožďany,"['Příbram', 'Domažlice']"
Hvězdlice,['Vyškov']
Hvězdonice,['Benešov']
Hvězdoňovice,['Třebíč']
Hybrálec,['Jihlava']
Hynčice,['Broumov']
Hynčina,['Zábřeh']
Háj u Duchcova,['Teplice']
Háj ve Slezsku,['Opava']
Háje,['Příbram']
Háje nad Jizerou,['Semily']
Hájek,"['Vodňany', 'Ostrov']"
Hýskov,['Beroun']
Hýsly,['Kyjov']
Hřebeč,['Kladno']
Hřebečníky,['Rakovník']
Hředle,"['Hořovice', 'Rakovník']"
Hřensko,['Děčín']
Hřibiny-Ledská,['Kostelec nad Orlicí']
Hřibojedy,['Dvůr Králové nad Labem']
Hřiměždice,['Dobříš']
Hřivice,['Louny']
Hřivínův Újezd,['Zlín']
Hříšice,['Dačice']
Hříškov,['Louny']
Hůrky,['Rokycany']
Hůry,['České Budějovice']
Ivanovice na Hané,['Vyškov']
Ivančice,['Ivančice']
Ivaň,"['Pohořelice', 'Prostějov']"
Jabkenice,['Mladá Boleslav']
Jablonec Nad Nisou,['Jablonec nad Nisou']
Jablonec nad Jizerou,['Jilemnice']
Jablonná,['Příbram']
Jablonné nad Orlicí,['Žamberk']
Jablonné v Podještědí,['Liberec']
Jabloňany,['Boskovice']
Jabloňov,['Velké Meziříčí']
Jablunkov,['Jablunkov']
Jablůnka,['Vsetín']
Jahodov,['Rychnov nad Kněžnou']
Jakartovice,['Opava']
Jakubov u Moravských Budějovic,['Moravské Budějovice']
Jakubovice,['Šumperk']
Jakubčovice nad Odrou,['Odry']
Jalubí,['Uherské Hradiště']
Jamné,['Jihlava']
Jamné nad Orlicí,['Žamberk']
Jamolice,['Moravský Krumlov']
Jankov,"['Votice', 'České Budějovice', 'Pelhřimov']"
Jankovice,"['Přelouč', 'Holešov', 'Uherské Hradiště']"
Janoušov,['Šumperk']
Janov,"['Rakovník', 'Děčín', 'Dobruška', 'Litomyšl', 'Krnov']"
Janov nad Nisou,['Jablonec nad Nisou']
Janovice,['Frýdlant nad Ostravicí']
Janovice nad Úhlavou,['Klatovy']
Janovice v Podještědí,['Liberec']
Janová,['Vsetín']
Janská,['Děčín']
Janské Lázně,['Trutnov']
Janův Důl,['Liberec']
Janůvky,['Moravská Třebová']
Jarcová,['Valašské Meziříčí']
Jarohněvice,['Kroměříž']
Jaroměř,['Jaroměř']
Jaroměřice,['Moravská Třebová']
Jaroměřice nad Rokytnou,['Třebíč']
Jaroslav,['Holice']
Jaroslavice,['Znojmo']
Jarov,"['Blovice', 'Kralovice']"
Jarošov,['Litomyšl']
Jarošov nad Nežárkou,['Jindřichův Hradec']
Jarpice,['Slaný']
Jasenice,['Náměšť nad Oslavou']
Jasenná,"['Jaroměř', 'Vizovice']"
Javor,['Klatovy']
Javorek,['Nové Město na Moravě']
Javornice,['Rychnov nad Kněžnou']
Javorník,"['Vlašim', 'Svitavy', 'Vysoké Mýto', 'Veselí nad Moravou', 'Jeseník']"
Javůrek,['Rosice']
Jedlany,['Tábor']
Jedlová,['Polička']
Jedlá,['Světlá nad Sázavou']
Jedlí,['Zábřeh']
Jedomělice,['Slaný']
Jedousov,['Přelouč']
Jedovnice,['Blansko']
Jehnědí,['Ústí nad Orlicí']
Jemnice,['Moravské Budějovice']
Jemníky,['Slaný']
Jeneč,['Černošice']
Jenišov,['Karlovy Vary']
Jenišovice,"['Turnov', 'Chrudim']"
Jeníkov,"['Teplice', 'Hlinsko']"
Jeníkovice,"['Hradec Králové', 'Přelouč']"
Jenčice,['Lovosice']
Jenštejn,['Brandýs n. Lab.-St.Boleslav']
Jersín,['Jihlava']
Jesenec,['Konice']
Jesenice,"['Černošice', 'Rakovník', 'Sedlčany']"
Jesenný,['Semily']
Jeseník,['Jeseník']
Jeseník nad Odrou,['Nový Jičín']
Jestřabí,['Valašské Klobouky']
Jestřabí Lhota,['Kolín']
Jestřabí v Krkonoších,['Jilemnice']
Jestřebí,"['Česká Lípa', 'Nové Město nad Metují', 'Zábřeh']"
Jetětice,['Milevsko']
Jetřichov,['Broumov']
Jetřichovice,['Děčín']
Jevany,['Říčany']
Jeviněves,['Mělník']
Jevišovice,['Znojmo']
Jevišovka,['Mikulov']
Jevíčko,['Moravská Třebová']
Jezbořice,['Pardubice']
Jezdkovice,['Opava']
Jezdovice,['Jihlava']
Jezernice,['Lipník nad Bečvou']
Jezeřany-Maršovice,['Moravský Krumlov']
Jeřice,['Hořice']
Jeřišno,['Chotěboř']
Jeřmanice,['Liberec']
Ješetice,['Votice']
Ježená,['Jihlava']
Ježkovice,['Vyškov']
Ježov,"['Humpolec', 'Kyjov']"
Ježovy,['Klatovy']
Jickovice,['Milevsko']
Jihlava,['Jihlava']
Jihlávka,['Jihlava']
Jilem,"['Jindřichův Hradec', 'Chotěboř']"
Jilemnice,['Jilemnice']
Jimlín,['Louny']
Jimramov,['Nové Město na Moravě']
Jinačovice,['Kuřim']
Jince,['Příbram']
Jindřichov,"['Hranice', 'Šumperk', 'Krnov']"
Jindřichovice,"['Kraslice', 'Telč']"
Jindřichovice pod Smrkem,['Frýdlant']
Jindřichův Hradec,['Jindřichův Hradec']
Jinolice,['Jičín']
Jinočany,['Černošice']
Jinošov,['Náměšť nad Oslavou']
Jinín,['Strakonice']
Jiratice,['Moravské Budějovice']
Jirkov,['Chomutov']
Jirny,['Brandýs n. Lab.-St.Boleslav']
Jistebnice,['Tábor']
Jistebník,['Bílovec']
Jitkov,['Chotěboř']
Jivina,"['Hořovice', 'Mnichovo Hradiště']"
Jivno,['České Budějovice']
Jizbice,['Nymburk']
Jizerní Vtelno,['Mladá Boleslav']
Jičín,['Jičín']
Jičíněves,['Jičín']
Jiřetín pod Bukovou,['Tanvald']
Jiřetín pod Jedlovou,['Varnsdorf']
Jiřice,"['Lysá nad Labem', 'Humpolec']"
Jiřice u Miroslavi,['Moravský Krumlov']
Jiřice u Moravských Budějovic,['Znojmo']
Jiříkov,"['Rumburk', 'Rýmařov']"
Jiříkovice,['Šlapanice']
Josefov,"['Sokolov', 'Hodonín']"
Josefův Důl,"['Mladá Boleslav', 'Jablonec nad Nisou']"
Jáchymov,['Ostrov']
Jámy,['Žďár nad Sázavou']
Jíkev,['Nymburk']
Jílovice,"['Trhové Sviny', 'Hradec Králové']"
Jíloviště,['Černošice']
Jílové,['Děčín']
Jílové u Držkova,['Železný Brod']
Jílové u Prahy,['Černošice']
Jívka,['Trutnov']
Jívová,['Šternberk']
Jívoví,['Velké Meziříčí']
Kacanovy,['Turnov']
Kaceřov,"['Nýřany', 'Sokolov']"
Kacákova Lhota,['Jičín']
Kadaň,['Kadaň']
Kadlín,['Mělník']
Kadolec,['Velké Meziříčí']
Kadov,"['Blatná', 'Nové Město na Moravě', 'Moravský Krumlov']"
Kakejcov,['Rokycany']
Kalek,['Chomutov']
Kalenice,['Strakonice']
Kalhov,['Jihlava']
Kalivody,['Rakovník']
Kaliště,"['Říčany', 'Humpolec', 'Jihlava']"
Kaly,['Tišnov']
Kamberk,['Vlašim']
Kamenec,['Rokycany']
Kamenec u Poličky,['Polička']
Kamenice,"['Říčany', 'Jihlava']"
Kamenice nad Lipou,['Pelhřimov']
Kamenický Šenov,['Nový Bor']
Kameničky,['Hlinsko']
Kameničná,['Žamberk']
Kamenná,"['Trhové Sviny', 'Jihlava', 'Třebíč', 'Zábřeh']"
Kamenná Horka,['Svitavy']
Kamenná Lhota,['Světlá nad Sázavou']
Kamenné Zboží,['Nymburk']
Kamenné Žehrovice,['Kladno']
Kamenný Malíkov,['Jindřichův Hradec']
Kamenný Most,['Slaný']
Kamenný Přívoz,['Černošice']
Kamenný Újezd,"['České Budějovice', 'Rokycany']"
Kamýk,['Litoměřice']
Kamýk nad Vltavou,['Příbram']
Kanice,"['Domažlice', 'Šlapanice']"
Kanina,['Mělník']
Kaničky,['Domažlice']
Kaplice,['Kaplice']
Kardašova Řečice,['Jindřichův Hradec']
Karle,['Svitavy']
Karlov,['Žďár nad Sázavou']
Karlova Studánka,['Bruntál']
Karlova Ves,['Rakovník']
Karlovice,"['Turnov', 'Zlín', 'Bruntál']"
Karlovy Vary,['Karlovy Vary']
Karlík,['Černošice']
Karlín,['Hodonín']
Karlštejn,['Beroun']
Karolinka,['Vsetín']
Karolín,['Kroměříž']
Karviná,['Karviná']
Kasalice,['Pardubice']
Kasejovice,['Nepomuk']
Kateřinice,"['Vsetín', 'Kopřivnice']"
Katov,"['Soběslav', 'Tišnov']"
Katovice,['Strakonice']
Katusice,['Mladá Boleslav']
Kaznějov,['Kralovice']
Kačice,['Kladno']
Kačlehy,['Jindřichův Hradec']
Kaňovice,"['Zlín', 'Frýdek-Místek']"
Kařez,['Rokycany']
Kařízek,['Rokycany']
Kašava,['Zlín']
Kašnice,['Hustopeče']
Kašperské Hory,['Sušice']
Kbel,"['Kolín', 'Přeštice']"
Kbelany,['Nýřany']
