municipality,district
Borotice,"['Dobříš', 'Znojmo']"
Borotín,"['Tábor', 'Boskovice']"
Borovany,"['Milevsko', 'Trhové Sviny']"
Borovnice,"['Vlašim', 'České Budějovice', 'Dvůr Králové nad Labem', 'Kostelec nad Orlicí', 'Nové Město na Moravě']"
Borovnička,['Dvůr Králové nad Labem']
Borovno,['Blovice']
Borovná,['Telč']
Borovník,['Tišnov']
Borovy,['Přeštice']
Borová,"['Náchod', 'Polička']"
Borová Lada,['Vimperk']
Borušov,['Moravská Třebová']
Bory,['Velké Meziříčí']
Boršice,['Uherské Hradiště']
Boršice u Blatnice,['Uherské Hradiště']
Boršov,['Jihlava']
Boršov nad Vltavou,['České Budějovice']
Boseň,['Mnichovo Hradiště']
Boskovice,['Boskovice']
Boskovštejn,['Znojmo']
Boudy,['Písek']
Bousov,['Chrudim']
Bousín,['Prostějov']
Bouzov,['Litovel']
Bozkov,['Semily']
Boňkov,['Havlíčkův Brod']
Bořanovice,['Brandýs n. Lab.-St.Boleslav']
Bořenovice,['Holešov']
Bořetice,"['Pelhřimov', 'Hustopeče']"
Bořetín,"['Jindřichův Hradec', 'Pelhřimov']"
Bořice,['Chrudim']
Bořislav,['Teplice']
Bořitov,['Blansko']
Bošice,['Vimperk']
Bošilec,['České Budějovice']
Bošovice,['Slavkov u Brna']
Bošín,['Vysoké Mýto']
Božanov,['Broumov']
Božejov,['Pelhřimov']
Božetice,['Milevsko']
Božice,['Znojmo']
Božičany,['Karlovy Vary']
Boží Dar,['Ostrov']
Brada-Rybníček,['Jičín']
Bradlec,['Mladá Boleslav']
Bradlecká Lhota,['Semily']
Bradáčov,['Tábor']
Brambory,['Čáslav']
Brandov,['Litvínov']
Brandýs nad Labem -Stará Boleslav,['Brandýs n. Lab.-St.Boleslav']
Brandýs nad Orlicí,['Ústí nad Orlicí']
Brandýsek,['Kladno']
Branice,['Milevsko']
Branišov,['České Budějovice']
Branišovice,['Pohořelice']
Branka u Opavy,['Opava']
Brankovice,['Bučovice']
Branky,['Valašské Meziříčí']
Branná,['Šumperk']
Branov,['Rakovník']
Bransouze,['Třebíč']
Brantice,['Krnov']
Braníškov,['Tišnov']
Branžež,['Mnichovo Hradiště']
Bratkovice,['Příbram']
Bratronice,"['Kladno', 'Blatná']"
Bratrušov,['Šumperk']
Bratčice,"['Čáslav', 'Židlochovice']"
Bratřejov,['Vizovice']
Bratřice,['Pacov']
Bratříkovice,['Opava']
Bratřínov,['Černošice']
Bravantice,['Bílovec']
Braňany,['Most']
Braškov,['Kladno']
Bražec,['Karlovy Vary']
Brloh,"['Český Krumlov', 'Přelouč']"
Brniště,['Česká Lípa']
Brno,['Brno']
Brníčko,['Zábřeh']
Brnířov,['Domažlice']
Brněnec,['Svitavy']
Brod nad Dyjí,['Mikulov']
Brod nad Tichou,['Tachov']
Brodce,['Mladá Boleslav']
Brodec,['Louny']
Brodek u Konice,['Konice']
Brodek u Prostějova,['Prostějov']
Brodek u Přerova,['Přerov']
Brodeslavy,['Kralovice']
Broumov,"['Tachov', 'Broumov']"
Broumy,['Beroun']
Brozany nad Ohří,['Litoměřice']
Brtnice,['Jihlava']
Brtnička,['Jihlava']
Brumov,['Tišnov']
Brumov-Bylnice,['Valašské Klobouky']
Brumovice,"['Hustopeče', 'Opava']"
Bruntál,['Bruntál']
Brusné,['Bystřice pod Hostýnem']
Bruzovice,['Frýdek-Místek']
Brušperk,['Frýdek-Místek']
Brzice,['Náchod']
Brzkov,['Jihlava']
Brzánky,['Roudnice nad Labem']
Brázdim,['Brandýs n. Lab.-St.Boleslav']
Brňany,['Litoměřice']
Brťov-Jeneč,['Blansko']
Bublava,['Kraslice']
Bubovice,['Beroun']
Buchlovice,['Uherské Hradiště']
Budeč,"['Dačice', 'Žďár nad Sázavou']"
Budiměřice,['Nymburk']
Budislav,"['Soběslav', 'Litomyšl']"
Budišov,['Třebíč']
Budišov nad Budišovkou,['Vítkov']
Budišovice,['Opava']
Budkov,"['Prachatice', 'Moravské Budějovice']"
Budyně,['Vodňany']
Budyně nad Ohří,['Roudnice nad Labem']
Budíkov,['Humpolec']
Budíškovice,['Dačice']
Budčeves,['Jičín']
Budětice,['Sušice']
Budětsko,['Konice']
Bujanov,['Kaplice']
Bujesily,['Rokycany']
Buk,"['Vimperk', 'Přerov']"
Bukov,['Bystřice nad Pernštejnem']
Bukovany,"['Benešov', 'Příbram', 'Sokolov', 'Kyjov', 'Olomouc']"
Bukovec,"['Stod', 'Jablunkov']"
Bukovice,"['Náchod', 'Tišnov']"
Bukovina,['Blansko']
Bukovina nad Labem,['Pardubice']
Bukovina u Přelouče,['Přelouč']
Bukovina u Čisté,['Jilemnice']
Bukovinka,['Blansko']
Bukovka,['Pardubice']
Bukovno,['Mladá Boleslav']
Bukovník,['Sušice']
Buková,"['Přeštice', 'Prostějov']"
Buková u Příbramě,['Příbram']
Bukvice,['Jičín']
Bulhary,['Břeclav']
Bulovka,['Frýdlant']
Butoves,['Jičín']
Buzice,['Blatná']
Bučina,['Vysoké Mýto']
Bučovice,['Bučovice']
Bučí,['Nýřany']
Buřenice,['Pacov']
Buš,['Černošice']
Bušanovice,['Prachatice']
Bušovice,['Rokycany']
Buštěhrad,['Kladno']
Bušín,['Šumperk']
Bykoš,['Beroun']
Bylany,['Chrudim']
Bynovec,['Děčín']
Bystrovany,['Olomouc']
Bystročice,['Olomouc']
Bystrá,['Humpolec']
Bystrá nad Jizerou,['Semily']
Bystré,"['Dobruška', 'Polička']"
Bystřany,['Teplice']
Bystřec,['Žamberk']
Bystřice,"['Benešov', 'Jičín', 'Třinec']"
Bystřice nad Pernštejnem,['Bystřice nad Pernštejnem']
Bystřice pod Hostýnem,['Bystřice pod Hostýnem']
Bystřice pod Lopeníkem,['Uherský Brod']
Bystřička,['Vsetín']
Byzhradec,['Rychnov nad Kněžnou']
Byšice,['Mělník']
Bzenec,['Kyjov']
Bzová,['Hořovice']
Bácovice,['Pelhřimov']
Bánov,['Uherský Brod']
Báňovice,['Dačice']
Bílence,['Chomutov']
Bílichov,['Slaný']
Bílina,['Bílina']
Bílkovice,['Vlašim']
Bílov,"['Kralovice', 'Bílovec']"
Bílovec,['Bílovec']
Bílovice,['Uherské Hradiště']
Bílovice nad Svitavou,['Šlapanice']
Bílovice-Lutotín,['Prostějov']
Bílsko,"['Vodňany', 'Litovel']"
Bílsko u Hořic,['Hořice']
Bílá,"['Liberec', 'Frýdlant nad Ostravicí']"
Bílá Hlína,['Mnichovo Hradiště']
Bílá Lhota,['Litovel']
Bílá Třemešná,['Dvůr Králové nad Labem']
Bílá Voda,['Jeseník']
Bílé Podolí,['Čáslav']
Bílé Poličany,['Dvůr Králové nad Labem']
Bílý Kostel nad Nisou,['Liberec']
Bílý Kámen,['Jihlava']
Bílý Potok,['Frýdlant']
Bílý Újezd,['Rychnov nad Kněžnou']
Bílčice,['Bruntál']
Bítouchov,['Mladá Boleslav']
